address,city,district,districtid,districtncesid,enrollment,fax,graderange,gsid,gsrating,lat,lon,name,ncesid,overviewlink,phone,ratingslink,reviewslink,schoolstatslink,state,type,website
"3845 Avocado School Road, 
La Mesa, CA  91941",La Mesa,Cajon Valley Union School District,676,0606810,561,(619) 579-4872,K-5,5799,6,32.75042,-116.95952,Avocado Elementary School,060681000604,https://www.greatschools.org/california/la-mesa/5799-Avocado-Elementary-School/?s_cid=gsapi,(619) 588-3100,https://www.greatschools.org/school/rating.page?state=CA&id=5799&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5799&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5799,CA,public,http://www.cajonvalley.net/avocado
"9863 Oakmont Terrace, 
El Cajon, CA  92021",El Cajon,Cajon Valley Union School District,676,0606810,523,(619) 588-3022,K-5,5801,7,32.861416,-116.846,Blossom Valley Elementary School,060681003925,https://www.greatschools.org/california/el-cajon/5801-Blossom-Valley-Elementary-School/?s_cid=gsapi,(619) 588-3678,https://www.greatschools.org/school/rating.page?state=CA&id=5801&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5801&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5801,CA,public,http://www.cajonvalley.net/blossomvalley
"1390 East Broadway, 
El Cajon, CA  92021",El Cajon,Cajon Valley Union School District,676,0606810,559,(619) 579-4849,K-5,5802,6,32.807762,-116.9317,Bostonia Elementary School,060681000606,https://www.greatschools.org/california/el-cajon/5802-Bostonia-Elementary-School/?s_cid=gsapi,(619) 588-3121,https://www.greatschools.org/school/rating.page?state=CA&id=5802&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5802&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5802,CA,public,
"1384 Broadway, 
El Cajon, CA  92021",El Cajon,Cajon Valley Union School District,676,0606810,23,(619) 579-4862,K-8,11831,,32.807762,-116.93196,Cajon Valley Home School,060681008590,https://www.greatschools.org/california/el-cajon/11831-Cajon-Valley-Home-School/?s_cid=gsapi,(619) 588-3630,https://www.greatschools.org/school/rating.page?state=CA&id=11831&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11831&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11831,CA,public,http://www.cajonvalley.net/homeschool
"550 Park Avenue, 
El Cajon, CA  92020",El Cajon,Cajon Valley Union School District,676,0606810,882,(619) 579-4817,6-8,5803,4,32.79835,-116.95555,Cajon Valley Middle School,060681000607,https://www.greatschools.org/california/el-cajon/5803-Cajon-Valley-Middle-School/?s_cid=gsapi,(619) 588-3092,https://www.greatschools.org/school/rating.page?state=CA&id=5803&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5803&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5803,CA,public,
"195 East Chase Avenue, 
El Cajon, CA  92020",El Cajon,Cajon Valley Union School District,676,0606810,755,(619) 588-3184,K-5,5804,3,32.780354,-116.96002,Chase Avenue Elementary School,060681000608,https://www.greatschools.org/california/el-cajon/5804-Chase-Avenue-Elementary-School/?s_cid=gsapi,(619) 588-3123,https://www.greatschools.org/school/rating.page?state=CA&id=5804&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5804&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5804,CA,public,
"29282 Menifee Road, 
Menifee, CA  92584",Menifee,Menifee Union Elementary,524,0624540,770,(951) 672-2651,K-5,12386,5,33.699127,-117.15416,Freedom Crest Elementary School,062454011185,https://www.greatschools.org/california/menifee/12386-Freedom-Crest-Elementary-School/?s_cid=gsapi,(951) 679-5285,https://www.greatschools.org/school/rating.page?state=CA&id=12386&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12386&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12386,CA,public,www.menifeeusd.org
"395 11th Avenue, 
6th Floor
San Diego, CA  92101",San Diego,San Diego Unified School District,705,0634320,343,(619) 677-2955,9-12,31013,5,32.709248,-117.15463,e3 Civic High School,063432013288,https://www.greatschools.org/california/san-diego/31013-E3-Civic-High-School/?s_cid=gsapi,(619) 546-0000,https://www.greatschools.org/school/rating.page?state=CA&id=31013&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31013&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31013,CA,charter,www.e3civichigh.com
"155 Stevens Street, 
Solana Beach, CA  92075",Solana Beach,San Dieguito Union High,704,0634380,715,(760) 755-0891,7-8,6092,8,32.995136,-117.26242,Earl Warren Middle School,063438005575,https://www.greatschools.org/california/solana-beach/6092-Earl-Warren-Middle-School/?s_cid=gsapi,(858) 755-1558,https://www.greatschools.org/school/rating.page?state=CA&id=6092&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6092&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6092,CA,public,http://www.sduhsd.k12.ca.us
"2285 Murray Ridge Road, 
San Diego, CA  92123",San Diego,San Diego Unified School District,705,0634320,165,,K-5,32174,10,32.78629,-117.14434,Elevate Elementary,063432013795,https://www.greatschools.org/california/san-diego/32174-Elevate-Elementary/?s_cid=gsapi,(858) 751-4774,https://www.greatschools.org/school/rating.page?state=CA&id=32174&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32174&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32174,CA,charter,www.elevateschool.com
"3914 First Avenue, 
San Diego, CA  92103",San Diego,San Diego Unified School District,705,0634320,262,(619) 725-4028,K-5,6142,6,32.74881,-117.16478,Florence Elementary School,063432005460,https://www.greatschools.org/california/san-diego/6142-Florence-Elementary-School/?s_cid=gsapi,(619) 344-5900,https://www.greatschools.org/school/rating.page?state=CA&id=6142&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6142&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6142,CA,public,
"8140 Greenlawn Drive, 
San Diego, CA  92114",San Diego,San Diego Unified School District,705,0634320,295,(619) 344-3140,K-5,6145,4,32.7048,-117.027,Freese Elementary School,063432005464,https://www.greatschools.org/california/san-diego/6145-Freese-Elementary-School/?s_cid=gsapi,(619) 344-3100,https://www.greatschools.org/school/rating.page?state=CA&id=6145&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6145&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6145,CA,public,
"7030 Wandermere Place, 
San Diego, CA  92119",San Diego,San Diego Unified School District,705,0634320,517,(619) 465-8814,K-5,6152,10,32.796417,-117.04495,Green Elementary School,063432005471,https://www.greatschools.org/california/san-diego/6152-Green-Elementary-School/?s_cid=gsapi,(619) 460-5755,https://www.greatschools.org/school/rating.page?state=CA&id=6152&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6152&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6152,CA,public,
"9665 Jeremy Street, 
Santee, CA  92071",Santee,Santee Elementary,702,0635880,749,(619) 956-5014,K-8,6068,7,32.852947,-116.9633,Hill Creek Elementary School,063588006141,https://www.greatschools.org/california/santee/6068-Hill-Creek-Elementary-School/?s_cid=gsapi,(619) 956-5000,https://www.greatschools.org/school/rating.page?state=CA&id=6068&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6068&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6068,CA,public,www.santeesd.net
"3235 East Eighth Street, 
National City, CA  91950",National City,National Elementary,696,0626670,566,(619) 336-8255,K-6,5991,5,32.6852,-117.07363,Ira Harbison School,062667004044,https://www.greatschools.org/california/national-city/5991-Ira-Harbison-School/?s_cid=gsapi,(619) 336-8200,https://www.greatschools.org/school/rating.page?state=CA&id=5991&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5991&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5991,CA,public,
"4431 Mount Herbert Avenue, 
San Diego, CA  92117",San Diego,San Diego Unified School District,705,0634320,280,(858) 627-9289,K-12,11108,7,32.82331,-117.19422,John Muir School,063432005487,https://www.greatschools.org/california/san-diego/11108-John-Muir-School/?s_cid=gsapi,(858) 268-1954,https://www.greatschools.org/school/rating.page?state=CA&id=11108&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11108&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11108,CA,public,https://www.sandiegounified.org/schools/john-muir
"229 East Naples, 
Chula Vista, CA  91911",Chula Vista,Chula Vista Elementary School District,677,0608610,308,(619) 420-0677,K-6,25145,4,32.62028,-117.04771,Leonardo Da Vinci Health Sciences Charter School,060861012425,https://www.greatschools.org/california/chula-vista/25145-Leonardo-Da-Vinci-Health-Sciences-Charter-School/?s_cid=gsapi,(619) 420-0066,https://www.greatschools.org/school/rating.page?state=CA&id=25145&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=25145&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/25145,CA,charter,www.davincicharter.org
"5055 July Street, 
San Diego, CA  92110",San Diego,San Diego Unified School District,705,0634320,832,(619) 276-7008,K-8,6190,7,32.782887,-117.18854,Longfellow K-8,063432005505,https://www.greatschools.org/california/san-diego/6190-Longfellow-K-8/?s_cid=gsapi,(619) 276-4206,https://www.greatschools.org/school/rating.page?state=CA&id=6190&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6190&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6190,CA,public,
"3800 Pala Road, 
Oceanside, CA  92058",Oceanside,Oceanside Unified School District,697,0628250,746,(760) 754-1567,1-5,17595,4,33.238922,-117.32918,Louise Foussat Elementary School,062825012011,https://www.greatschools.org/california/oceanside/17595-Louise-Foussat-Elementary-School/?s_cid=gsapi,(760) 721-2200,https://www.greatschools.org/school/rating.page?state=CA&id=17595&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=17595&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/17595,CA,public,http://foussat.oside.us/
"4833 Doliva Drive, 
San Diego, CA  92117",San Diego,San Diego Unified School District,705,0634320,1161,(858) 496-8421,9-12,6192,7,32.831028,-117.17354,Madison High School,063432005509,https://www.greatschools.org/california/san-diego/6192-Madison-High-School/?s_cid=gsapi,(858) 496-8410,https://www.greatschools.org/school/rating.page?state=CA&id=6192&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6192&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6192,CA,public,www.madison.sandi.net
"12320 Meadowbrook Lane, 
Poway, CA  92064",Poway,Poway Unified School District,699,0631530,1343,(858) 679-0149,6-8,6035,8,32.963375,-117.06406,Meadowbrook Middle School,063153004888,https://www.greatschools.org/california/poway/6035-Meadowbrook-Middle-School/?s_cid=gsapi,(858) 748-0802,https://www.greatschools.org/school/rating.page?state=CA&id=6035&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6035&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6035,CA,public,www.powayusd.com/pusdmbms
"1601 Fourth Avenue, 
Chula Vista, CA  91911",Chula Vista,Chula Vista Elementary School District,677,0608610,366,(619) 426-6836,K-6,5843,5,32.597893,-117.06902,Montgomery (John J.) Elementary School,060861000868,https://www.greatschools.org/california/chula-vista/5843-Montgomery-(John-J.)-Elementary-School/?s_cid=gsapi,(619) 422-6131,https://www.greatschools.org/school/rating.page?state=CA&id=5843&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5843&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5843,CA,public,http://schools.cvesd.org/schools/montgomery/
"8305 El Paso Street, 
La Mesa, CA  91942",La Mesa,La Mesa-Spring Valley School District,694,0620250,786,(619) 668-8318,K-6,5971,7,32.788387,-117.01987,Murray Manor Elementary School,062025002439,https://www.greatschools.org/california/la-mesa/5971-Murray-Manor-Elementary-School/?s_cid=gsapi,(619) 668-5865,https://www.greatschools.org/school/rating.page?state=CA&id=5971&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5971&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5971,CA,public,http://www.lmsvsd.org/murraymanor
"1830 East Division Street, 
National City, CA  91950",National City,National Elementary,696,0626670,464,(619) 336-8155,K-6,5995,4,32.688004,-117.09057,Rancho de la Nacion School,062667009590,https://www.greatschools.org/california/national-city/5995-Rancho-De-La-Nacion-School/?s_cid=gsapi,(619) 336-8100,https://www.greatschools.org/school/rating.page?state=CA&id=5995&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5995&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5995,CA,public,
"925 Lehner Avenue, 
Escondido, CA  92026",Escondido,Escondido Union School District,684,0612880,1304,(760) 743-6713,6-8,5903,5,33.15774,-117.08258,Rincon Middle School,061288008833,https://www.greatschools.org/california/escondido/5903-Rincon-Middle-School/?s_cid=gsapi,(760) 432-2491,https://www.greatschools.org/school/rating.page?state=CA&id=5903&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5903&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5903,CA,public,http://rincon.eusd.org/
"4885 Del Sol Boulevard, 
San Diego, CA  92154",San Diego,San Ysidro Elementary School District,711,0635220,2013,,PK-3,27081,7,32.570713,-117.02803,Vista Del Mar,063522012993,https://www.greatschools.org/california/san-diego/27081-Vista-Del-Mar/?s_cid=gsapi,(619) 661-6753,https://www.greatschools.org/school/rating.page?state=CA&id=27081&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=27081&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/27081,CA,public,
"1508 Windsor Road, 
Cardiff-By-The-Sea, CA  92007",Cardiff-By-The-Sea,Cardiff Elementary,675,0607470,370,(760) 632-0585,3-6,5797,7,33.031258,-117.27347,Ada W. Harris Elementary School,060747000706,https://www.greatschools.org/california/cardiff_by_the_sea/5797-Ada-W.-Harris-Elementary-School/?s_cid=gsapi,(760) 632-5894,https://www.greatschools.org/school/rating.page?state=CA&id=5797&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5797&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5797,CA,public,http://www.cardiffschools.com/
"1888 Montgomery Avenue, 
Cardiff-By-The-Sea, CA  92007",Cardiff-By-The-Sea,Cardiff Elementary,675,0607470,361,(760) 632-5375,K-3,5796,9,33.02506,-117.28219,Cardiff Elementary School,060747000707,https://www.greatschools.org/california/cardiff_by_the_sea/5796-Cardiff-Elementary-School/?s_cid=gsapi,(760) 632-5892,https://www.greatschools.org/school/rating.page?state=CA&id=5796&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5796&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5796,CA,public,
"6900 Ambrosia Lane, 
Carlsbad, CA  92009",Carlsbad,Carlsbad Unified School District,680,0607500,693,(760) 438-4576,K-5,5864,10,33.10132,-117.27669,Aviara Oaks Elementary School,060750009747,https://www.greatschools.org/california/carlsbad/5864-Aviara-Oaks-Elementary-School/?s_cid=gsapi,(760) 331-6000,https://www.greatschools.org/school/rating.page?state=CA&id=5864&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5864&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5864,CA,public,www.carlsbadusd.k12.ca.us
"6880 Ambrosia Lane, 
Carlsbad, CA  92011",Carlsbad,Carlsbad Unified School District,680,0607500,1093,(760) 438-7894,6-8,11843,8,33.103065,-117.27898,Aviara Oaks Middle School,060750008606,https://www.greatschools.org/california/carlsbad/11843-Aviara-Oaks-Middle-School/?s_cid=gsapi,(760) 331-6100,https://www.greatschools.org/school/rating.page?state=CA&id=11843&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11843&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11843,CA,public,www.carlsbadusd.k12.ca.us
"21660 Road 60, 
Tulare, CA  93274",Tulare,Buena Vista Elementary,952,0606420,187,(559) 684-0932,K-8,7422,5,36.182884,-119.43916,Buena Vista Elementary School,060642000562,https://www.greatschools.org/california/tulare/7422-Buena-Vista-Elementary-School/?s_cid=gsapi,(559) 686-2015,https://www.greatschools.org/school/rating.page?state=CA&id=7422&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=7422&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/7422,CA,public,
"4100 Tamarack Avenue, 
Carlsbad, CA  92008",Carlsbad,Carlsbad Unified School District,680,0607500,476,(760) 729-3040,K-5,12224,6,33.172386,-117.29083,Calavera Hills Elementary School,060750010643,https://www.greatschools.org/california/carlsbad/12224-Calavera-Hills-Elementary-School/?s_cid=gsapi,(760) 331-6300,https://www.greatschools.org/school/rating.page?state=CA&id=12224&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12224&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12224,CA,public,www.carlsbadusd.k12.ca.us/calavera.htm
"4104 Tamarack Avenue, 
Carlsbad, CA  92008",Carlsbad,Carlsbad Unified School District,680,0607500,458,(760) 729-3040,6-8,14745,7,33.172386,-117.29083,Calavera Hills Middle School,060750011402,https://www.greatschools.org/california/carlsbad/14745-Calavera-Hills-Middle-School/?s_cid=gsapi,(760) 331-6400,https://www.greatschools.org/school/rating.page?state=CA&id=14745&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=14745&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/14745,CA,public,www.calaverahillscoyotes.com
"3557 Monroe Street, 
Carlsbad, CA  92008",Carlsbad,Carlsbad Unified School District,680,0607500,2685,(760) 729-6830,9-12,5866,8,33.16241,-117.32695,Carlsbad High School,060750000709,https://www.greatschools.org/california/carlsbad/5866-Carlsbad-High-School/?s_cid=gsapi,(760) 331-5100,https://www.greatschools.org/school/rating.page?state=CA&id=5866&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5866&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5866,CA,public,www.carlsbadusd.k12.ca.us
"3557 Monroe Street, 
Carlsbad, CA  92008",Carlsbad,Carlsbad Unified School District,680,0607500,47,(760) 729-1791,9-12,11124,7,33.160103,-117.32672,Carlsbad Seaside Academy,060750008311,https://www.greatschools.org/california/carlsbad/11124-Carlsbad-Seaside-Academy/?s_cid=gsapi,(760) 331-5299,https://www.greatschools.org/school/rating.page?state=CA&id=11124&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11124&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11124,CA,public,http://www.littlelake.com/cas
