studentsNumber,outOf5Stars,url,grades,lowIncomeRaceDisbilityJson,schoolTitle,totalNumReviews,StarBreakout,types
255,4 out of 5 stars,https://www.greatschools.org/california/san-diego/25641-Americas-Finest-Charter-School/?s_cid=gsapi,K-8,,America's Finest Charter School,66,"28,1,0,1,4",Public charter
554,5 out of 5 stars,https://www.greatschools.org/california/pacifica/6884-Cabrillo-Elementary-School/?s_cid=gsapi,K-8,,Cabrillo Elementary School,129,"33,4,1,2,0",Public
474,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6112-Carson-Elementary-School/?s_cid=gsapi,K-5,,Carson Elementary School,9,"4,1,0,1,0",Public
379,4 out of 5 stars,https://www.greatschools.org/california/los-angeles/1591-Carver-Elementary-School/?s_cid=gsapi,K-7,,Carver Elementary School,4,"3,0,0,0,1",Public
551,4 out of 5 stars,https://www.greatschools.org/california/imperial-beach/6076-Central-Elementary-School/?s_cid=gsapi,K-6,,Central Elementary School,12,"3,1,1,1,0",Public
578,3 out of 5 stars,https://www.greatschools.org/california/lancaster/3043-Challenger-Middle-School/?s_cid=gsapi,5-8,,Challenger Middle School,28,"6,2,4,1,6",Public
489,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6116-Chavez-Elementary-School/?s_cid=gsapi,K-5,,Chavez Elementary School,5,"1,0,0,0,1",Public
476,4 out of 5 stars,https://www.greatschools.org/california/san-diego/14627-Cherokee-Point-Elementary-School/?s_cid=gsapi,K-5,,Cherokee Point Elementary School,10,"4,4,0,1,1",Public
450,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6117-Chesterton-Elementary-School/?s_cid=gsapi,K-5,,Chesterton Elementary School,39,"12,2,1,1,2",Public
641,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6118-Chollas-Mead-Elementary-School/?s_cid=gsapi,K-5,,Chollas/Mead Elementary School,16,"5,0,0,0,1",Public
"1,067",3 out of 5 stars,https://www.greatschools.org/california/san-diego/6119-Clairemont-High-School/?s_cid=gsapi,9-12,,Clairemont High School,30,"5,5,1,2,4",Public
"1,036",3 out of 5 stars,https://www.greatschools.org/california/san-diego/6120-Clark-Middle-School/?s_cid=gsapi,6-8,,Clark Middle School,11,"4,0,1,1,5",Public
250,4 out of 5 stars,https://www.greatschools.org/california/kingsburg/734-Clay-Elementary-School/?s_cid=gsapi,K-8,,Clay Elementary School,4,"3,0,0,0,1",Public
838,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6122-Correia-Middle-School/?s_cid=gsapi,7-8,,Correia Middle School,43,"8,1,1,4,8",Public
227,3 out of 5 stars,https://www.greatschools.org/california/inglewood/11952-City-Honors-College-Preparatory-Charter-School/?s_cid=gsapi,10-12,,City Honors College Preparatory Charter School,69,"13,8,14,14,9",Public
"1,161",5 out of 5 stars,https://www.greatschools.org/california/san-diego/14261-Crawford-High-School/?s_cid=gsapi,9-12,,Crawford High School,6,"2,1,0,0,0",Public
402,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6124-Crown-Point-Jr-Music-Academy/?s_cid=gsapi,PK-5,,Crown Point Jr Music Academy,60,"26,2,1,3,9",Public
571,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6126-Curie-Elementary-School/?s_cid=gsapi,K-5,,Curie Elementary School,46,"13,7,5,0,3",Public
534,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6127-Dailard-Elementary-School/?s_cid=gsapi,K-5,,Dailard Elementary School,35,"19,7,0,1,0",Public
821,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6128-Dana/?s_cid=gsapi,5-6,,Dana,31,"4,5,1,2,7",Public
639,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6129-Darnall-Charter-School/?s_cid=gsapi,K-8,,Darnall Charter School,16,"4,0,0,1,4",Public charter
969,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6130-De-Portola-Middle-School/?s_cid=gsapi,6-8,,De Portola Middle School,50,"19,1,4,2,5",Public
832,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6132-Dingeman-Elementary-School/?s_cid=gsapi,K-5,,Dingeman Elementary School,20,"7,1,1,0,2",Public
898,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6133-Doyle-Elementary-School/?s_cid=gsapi,K-5,,Doyle Elementary School,67,"21,1,11,7,9",Public
"1,305",4 out of 5 stars,https://www.greatschools.org/california/san-marcos/6270-Woodland-Park-Middle-School/?s_cid=gsapi,6-8,,Woodland Park Middle School,12,"3,4,0,1,1",Public
561,5 out of 5 stars,https://www.greatschools.org/california/chula-vista/5832-Eastlake-Elementary-School/?s_cid=gsapi,K-6,,Eastlake Elementary School,50,"26,3,2,0,2",Public
513,4 out of 5 stars,https://www.greatschools.org/california/el-cajon/13679-Eje-Elementary-Academy-Charter/?s_cid=gsapi,K-5,,Eje Elementary Academy Charter,31,"15,2,1,0,7",Public charter
495,5 out of 5 stars,https://www.greatschools.org/california/national-city/5990-El-Toyon-Elementary-School/?s_cid=gsapi,K-6,,El Toyon Elementary School,2,"2,0,0,0,0",Public
537,4 out of 5 stars,https://www.greatschools.org/california/el-cajon/5807-Emerald-Middle-School/?s_cid=gsapi,6-8,,Emerald Middle School,21,"6,3,2,1,1",Public
920,3 out of 5 stars,https://www.greatschools.org/california/san-diego/12450-Creative-Performing-And-Media-Arts-School/?s_cid=gsapi,6-8,,"Creative, Performing, and Media Arts School",64,"18,4,3,5,9",Public
632,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6077-Emory-Elementary-School/?s_cid=gsapi,K-6,,Emory Elementary School,30,"11,0,1,2,1",Public
811,5 out of 5 stars,https://www.greatschools.org/california/oceanside/6317-Empresa-Elementary-School/?s_cid=gsapi,K-5,,Empresa Elementary School,50,"23,3,0,0,2",Public
504,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6136-Encanto-Elementary-School/?s_cid=gsapi,K-5,,Encanto Elementary School,7,"5,1,0,1,0",Public
270,3 out of 5 stars,https://www.greatschools.org/california/san-diego/31084-Epiphany-Prep-Charter/?s_cid=gsapi,K-8,,Epiphany Prep Charter,13,"4,0,0,0,3",Public charter
611,3 out of 5 stars,https://www.greatschools.org/california/ontario/5179-Euclid-Elementary-School/?s_cid=gsapi,K-6,,Euclid Elementary School,12,"0,4,0,0,2",Public
730,4 out of 5 stars,https://www.greatschools.org/california/fallbrook/5912-Fallbrook-Street-Elementary-School/?s_cid=gsapi,K-6,,Fallbrook Street Elementary School,22,"12,3,0,1,5",Public
691,4 out of 5 stars,https://www.greatschools.org/california/escondido/14474-Farr-Avenue-Elementary-School/?s_cid=gsapi,K-5,,Farr Avenue Elementary School,16,"6,2,1,1,2",Public
718,4 out of 5 stars,https://www.greatschools.org/california/escondido/5891-Felicita-Elementary-School/?s_cid=gsapi,K-5,,Felicita Elementary School,17,"7,0,1,1,0",Public
428,4 out of 5 stars,https://www.greatschools.org/california/encinitas/5880-Flora-Vista-Elementary-School/?s_cid=gsapi,K-6,,Flora Vista Elementary School,21,"10,3,1,1,4",Public
"1,291",4 out of 5 stars,https://www.greatschools.org/california/palo-cedro/6519-Foothill-High-School/?s_cid=gsapi,9-12,,Foothill High School,15,"10,1,1,2,1",Public
703,3 out of 5 stars,https://www.greatschools.org/california/baldwin-park/1497-Foster-Elementary-School/?s_cid=gsapi,K-6,,Foster Elementary School,10,"3,1,0,0,4",Public
477,5 out of 5 stars,https://www.greatschools.org/california/yuba-city/7335-Franklin-Elementary-School/?s_cid=gsapi,K-8,,Franklin Elementary School,5,"4,0,0,0,0",Public
601,4 out of 5 stars,https://www.greatschools.org/california/el-cajon/5809-Fuerte-Elementary-School/?s_cid=gsapi,K-5,,Fuerte Elementary School,30,"11,1,0,1,1",Public
440,4 out of 5 stars,https://www.greatschools.org/california/poway/6032-Garden-Road-Elementary-School/?s_cid=gsapi,K-5,,Garden Road Elementary School,29,"5,0,3,1,1",Public
551,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6075-Godfrey-G.-Berry-Elementary-School/?s_cid=gsapi,K-6,,Godfrey G. Berry Elementary School,18,"9,1,0,1,3",Public
422,5 out of 5 stars,https://www.greatschools.org/california/san-diego/14622-Golden-Hill-K-8/?s_cid=gsapi,K-8,,Golden Hill K-8,41,"12,4,0,0,1",Public
"2,478",4 out of 5 stars,https://www.greatschools.org/california/el-cajon/5925-Granite-Hills-High-School/?s_cid=gsapi,9-12,,Granite Hills High School,18,"11,2,0,1,2",Public
"1,275",4 out of 5 stars,https://www.greatschools.org/california/vista/6319-Guajome-Park-Academy-Charter/?s_cid=gsapi,K-12,,Guajome Park Academy Charter,77,"28,12,6,8,11",Public charter
516,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5835-Halecrest-Elementary-School/?s_cid=gsapi,K-6,,Halecrest Elementary School,79,"27,3,5,2,0",Public
556,5 out of 5 stars,https://www.greatschools.org/california/hanford/17103-Hamilton-Elementary-School/?s_cid=gsapi,K-6,,Hamilton Elementary School,10,"3,0,0,0,0",Public
680,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5836-Harborside-Elementary-School/?s_cid=gsapi,K-6,,Harborside Elementary School,8,"6,0,0,1,1",Public
380,4 out of 5 stars,https://www.greatschools.org/california/san-diego/5834-Finney-Myrtle-S.-Elementary-School/?s_cid=gsapi,K-6,,Finney (Myrtle S.) Elementary School,8,"5,2,0,0,1",Public
408,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6156-Hardy-Elementary-School/?s_cid=gsapi,K-5,,Hardy Elementary School,37,"17,2,4,1,3",Public
761,3 out of 5 stars,https://www.greatschools.org/california/ontario/5180-Hawthorne-Elementary-School/?s_cid=gsapi,K-6,,Hawthorne Elementary School,12,"3,1,0,1,2",Public
569,4 out of 5 stars,https://www.greatschools.org/california/san-diego/17706-Health-Sciences-High-School/?s_cid=gsapi,10-12,,Health Sciences High School,15,"11,1,0,0,2",Public charter
150,,https://www.greatschools.org/california/san-diego/31136-Health-Sciences-Middle/?s_cid=gsapi,6-9,,Health Sciences Middle,None,,Public charter
"2,445",4 out of 5 stars,https://www.greatschools.org/california/la-mesa/5927-Helix-High-School/?s_cid=gsapi,9-12,,Helix High School,52,"20,4,2,4,9",Public charter
602,4 out of 5 stars,https://www.greatschools.org/california/escondido/12440-Heritage-K-8-Charter-School/?s_cid=gsapi,K-8,,Heritage K-8 Charter School,36,"17,3,2,0,6",Public charter
"1,153",4 out of 5 stars,https://www.greatschools.org/california/escondido/5895-Hidden-Valley-Middle-School/?s_cid=gsapi,6-8,,Hidden Valley Middle School,32,"14,2,1,1,5",Public
409,3 out of 5 stars,https://www.greatschools.org/california/chula-vista/25634-High-Tech-Elementary-Chula-Vista-School/?s_cid=gsapi,K-5,,High Tech Elementary Chula Vista School,18,"5,1,0,1,6",Public charter
306,5 out of 5 stars,https://www.greatschools.org/california/san-marcos/31113-High-Tech-Elementary-North-County/?s_cid=gsapi,K-5,,High Tech Elementary North County,25,"3,0,1,0,0",Public charter
626,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/17476-High-Tech-High-Chula-Vista-School/?s_cid=gsapi,9-12,,High Tech High Chula Vista School,24,"10,1,1,2,3",Public charter
400,4 out of 5 stars,https://www.greatschools.org/california/san-diego/14535-High-Tech-High-International-School/?s_cid=gsapi,9-12,,High Tech High International School,23,"8,2,2,2,1",Public charter
549,4 out of 5 stars,https://www.greatschools.org/california/san-marcos/17469-High-Tech-High-North-County-School/?s_cid=gsapi,9-12,,High Tech High North County School,25,"10,2,3,2,1",Public charter
319,3 out of 5 stars,https://www.greatschools.org/california/chula-vista/25635-High-Tech-Middle-Chula-Vista-School/?s_cid=gsapi,6-8,,High Tech Middle Chula Vista School,7,"1,1,1,0,1",Public charter
"2,174",4 out of 5 stars,https://www.greatschools.org/california/chula-vista/6287-Hilltop-Senior-High-School/?s_cid=gsapi,9-12,,Hilltop Senior High School,15,"6,0,2,0,1",Public
151,4 out of 5 stars,https://www.greatschools.org/california/san-diego/11115-Holly-Drive-Leadership-Academy/?s_cid=gsapi,K-8,,Holly Drive Leadership Academy,4,"2,0,1,0,1",Public charter
270,5 out of 5 stars,https://www.greatschools.org/california/san-diego/31138-Stephen-W.-Hawkings-II-Science-Technology-Engineering-Art-And-Math-Charter/?s_cid=gsapi,K-12,,"Stephen W. Hawkings II Science, Technology, Engineering, Art And Math Charter",7,"1,0,0,0,0",Public charter
455,4 out of 5 stars,https://www.greatschools.org/california/lakewood/2568-Holmes-Elementary-School/?s_cid=gsapi,K-5,,Holmes Elementary School,10,"4,2,1,2,0",Public
236,4 out of 5 stars,https://www.greatschools.org/california/porterville/7457-Hope-Elementary-School/?s_cid=gsapi,K-8,,Hope Elementary School,4,"3,0,0,0,1",Public
521,4 out of 5 stars,https://www.greatschools.org/california/san-diego/14629-Ibarra-Elementary-School/?s_cid=gsapi,K-5,,Ibarra Elementary School,6,"0,1,0,0,0",Public
"1,257",4 out of 5 stars,https://www.greatschools.org/california/san-diego/6258-Zamorano-Elementary-School/?s_cid=gsapi,K-5,,Zamorano Elementary School,28,"9,0,3,2,0",Public
921,4 out of 5 stars,https://www.greatschools.org/california/imperial-beach/6079-Imperial-Beach-Charter-School/?s_cid=gsapi,K-8,,Imperial Beach Charter School,17,"8,2,0,2,0",Public charter
133,3 out of 5 stars,https://www.greatschools.org/california/jamul/5933-Jamul-Intermediate-School/?s_cid=gsapi,4-5,,Jamul Intermediate School,4,"1,1,0,0,1",Public
365,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6166-Jefferson-Elementary-School/?s_cid=gsapi,K-5,,Jefferson Elementary School,29,"9,0,0,0,0",Public
570,3 out of 5 stars,https://www.greatschools.org/california/alpine/5787-Joan-Macqueen-Middle-School/?s_cid=gsapi,6-8,,Joan Macqueen Middle School,35,"4,5,5,3,4",Public
456,4 out of 5 stars,https://www.greatschools.org/california/national-city/5997-John-A.-Otis-Elementary-School/?s_cid=gsapi,K-6,,John A. Otis Elementary School,2,"1,0,0,1,0",Public
661,1 out of 5 stars,https://www.greatschools.org/california/el-cajon/5814-Johnson-Elementary-School/?s_cid=gsapi,K-5,,Johnson Elementary School,4,"0,0,0,0,4",Public
811,4 out of 5 stars,https://www.greatschools.org/california/vista/24650-Joli-Ann-Leichtag-Elementary-School/?s_cid=gsapi,K-5,,Joli Ann Leichtag Elementary School,19,"5,2,1,0,2",Public
363,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6169-Jones-Elementary-School/?s_cid=gsapi,K-5,,Jones Elementary School,18,"11,1,0,0,3",Public
607,4 out of 5 stars,https://www.greatschools.org/california/fontana/5090-Juniper-Elementary-School/?s_cid=gsapi,K-5,,Juniper Elementary School,9,"6,1,1,1,0",Public
345,4 out of 5 stars,https://www.greatschools.org/california/san-diego/14170-Kearny-SCT-School/?s_cid=gsapi,9-12,,Kearny SCT School,10,"3,1,1,1,1",Public
367,5 out of 5 stars,https://www.greatschools.org/california/national-city/5992-Kimball-School/?s_cid=gsapi,K-6,,Kimball School,3,"3,0,0,0,0",Public
453,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6174-Kimbrough-Elementary-School/?s_cid=gsapi,K-5,,Kimbrough Elementary School,4,"2,1,0,0,0",Public
325,3 out of 5 stars,https://www.greatschools.org/california/san-diego/12042-King-Chavez-Academy-Of-Excellence/?s_cid=gsapi,K-8,,King-Chavez Academy Of Excellence,7,"4,0,0,1,2",Public charter
188,5 out of 5 stars,https://www.greatschools.org/california/san-diego/14695-King-Chavez-Arts-Academy/?s_cid=gsapi,3-5,,King-Chavez Arts Academy,6,"5,0,1,0,0",Public charter
618,4 out of 5 stars,https://www.greatschools.org/california/san-diego/25009-King-Chavez-Community-High-School/?s_cid=gsapi,9-12,,King-Chavez Community High School,20,"5,1,0,0,2",Public charter
355,3 out of 5 stars,https://www.greatschools.org/california/san-diego/16957-King-Chavez-Preparatory-Academy/?s_cid=gsapi,6-8,,King-Chavez Preparatory Academy,30,"4,3,1,0,3",Public charter
185,5 out of 5 stars,https://www.greatschools.org/california/san-diego/14699-King-Chavez-Athletics-Academy/?s_cid=gsapi,3-5,,King-Chavez Athletics Academy,4,"4,0,0,0,0",Public charter
109,4 out of 5 stars,https://www.greatschools.org/california/julian/5937-Julian-Junior-High-School/?s_cid=gsapi,6-8,,Julian Junior High School,4,"2,0,1,0,1",Public
350,3 out of 5 stars,https://www.greatschools.org/california/san-diego/12471-KIPP-Adelante-Preparatory-Academy/?s_cid=gsapi,5-8,,KIPP Adelante Preparatory Academy,34,"14,2,0,0,11",Public charter
847,5 out of 5 stars,https://www.greatschools.org/california/san-marcos/6261-Knob-Hill-Elementary-School/?s_cid=gsapi,K-5,,Knob Hill Elementary School,12,"11,0,0,1,0",Public
703,4 out of 5 stars,https://www.greatschools.org/california/carlsbad/5881-La-Costa-Heights-Elementary-School/?s_cid=gsapi,K-6,,La Costa Heights Elementary School,46,"20,3,2,5,1",Public
948,4 out of 5 stars,https://www.greatschools.org/california/carlsbad/6262-La-Costa-Meadows-Elementary-School/?s_cid=gsapi,K-5,,La Costa Meadows Elementary School,42,"13,6,3,0,5",Public
669,4 out of 5 stars,https://www.greatschools.org/california/fallbrook/5914-La-Paloma-Elementary-School/?s_cid=gsapi,K-6,,La Paloma Elementary School,19,"8,2,0,1,1",Public
816,4 out of 5 stars,https://www.greatschools.org/california/lakeside/5942-Lakeside-Middle-School/?s_cid=gsapi,6-8,,Lakeside Middle School,16,"9,2,1,1,1",Public
399,3 out of 5 stars,https://www.greatschools.org/california/san-diego/14167-Kearny-Digital-Media--Design-School/?s_cid=gsapi,9-12,,Kearny Digital Media & Design School,16,"7,0,0,1,5",Public
576,5 out of 5 stars,https://www.greatschools.org/california/oakley/513-Laurel-Elementary-School/?s_cid=gsapi,K-5,,Laurel Elementary School,10,"9,1,0,0,0",Public
"1,244",5 out of 5 stars,https://www.greatschools.org/california/lemon-grove/5949-Lemon-Grove-Academy-For-The-Sciences-And-Humanities/?s_cid=gsapi,PK-8,,Lemon Grove Academy For The Sciences And Humanities,17,"10,3,0,1,0",Public
603,4 out of 5 stars,https://www.greatschools.org/california/national-city/5994-Lincoln-Acres-School/?s_cid=gsapi,K-6,,Lincoln Acres School,5,"2,2,0,1,0",Public
"1,643",4 out of 5 stars,https://www.greatschools.org/california/lincoln/4179-Lincoln-High-School/?s_cid=gsapi,9-12,,Lincoln High School,29,"18,4,2,0,5",Public
900,3 out of 5 stars,https://www.greatschools.org/california/alameda/10-Lincoln-Middle-School/?s_cid=gsapi,6-8,,Lincoln Middle School,55,"12,6,1,2,8",Public
"1,607",5 out of 5 stars,https://www.greatschools.org/california/el-cajon/12032-Literacy-First-Charter-School/?s_cid=gsapi,K-12,,Literacy First Charter School,167,"45,1,0,1,2",Public charter
637,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6188-Logan-K-8/?s_cid=gsapi,K-8,,Logan K-8,2,"0,1,0,0,1",Public
423,4 out of 5 stars,https://www.greatschools.org/california/san-diego/14791-Magnolia-Science-Academy-San-Diego/?s_cid=gsapi,6-8,,Magnolia Science Academy San Diego,115,"47,11,2,0,13",Public charter
"1,685",3 out of 5 stars,https://www.greatschools.org/california/imperial-beach/6289-Mar-Vista-Senior-High-School/?s_cid=gsapi,9-12,,Mar Vista Senior High School,30,"4,0,0,2,5",Public
524,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6194-Marshall-Elementary-School/?s_cid=gsapi,K-5,,Marshall Elementary School,3,"0,1,1,0,0",Public
739,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6196-Marston-Middle-School/?s_cid=gsapi,6-8,,Marston Middle School,14,"7,3,0,1,3",Public
410,4 out of 5 stars,https://www.greatschools.org/california/la-mesa/5969-Maryland-Avenue-Elementary-School/?s_cid=gsapi,K-6,,Maryland Avenue Elementary School,23,"9,2,0,1,5",Public
604,3 out of 5 stars,https://www.greatschools.org/california/vista/16896-Maryland-Elementary-School/?s_cid=gsapi,K-5,,Maryland Elementary School,13,"3,0,1,0,2",Public
600,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6198-Mason-Elementary-School/?s_cid=gsapi,PK-5,,Mason Elementary School,52,"10,3,2,2,5",Public
"1,273",3 out of 5 stars,https://www.greatschools.org/california/san-diego/6036-Mesa-Verde-Middle-School/?s_cid=gsapi,6-8,,Mesa Verde Middle School,55,"11,1,2,5,6",Public
467,3 out of 5 stars,https://www.greatschools.org/california/san-diego/24725-Millennial-Tech-Middle-School/?s_cid=gsapi,6-8,,Millennial Tech Middle School,27,"5,2,2,1,10",Public
481,3 out of 5 stars,https://www.greatschools.org/california/escondido/5898-Miller-Elementary-School/?s_cid=gsapi,K-5,,Miller Elementary School,18,"2,4,3,2,3",Public
709,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6202-Miller-Elementary-School/?s_cid=gsapi,K-5,,Miller Elementary School,63,"7,4,7,6,10",Public
"2,453",4 out of 5 stars,https://www.greatschools.org/california/san-diego/6203-Mira-Mesa-High-School/?s_cid=gsapi,9-12,,Mira Mesa High School,28,"20,1,2,2,2",Public
"1,723",3 out of 5 stars,https://www.greatschools.org/california/san-diego/6291-Montgomery-Senior-High-School/?s_cid=gsapi,9-12,,Montgomery Senior High School,16,"6,1,0,2,5",Public
"1,040",4 out of 5 stars,https://www.greatschools.org/california/san-diego/17065-Monterey-Ridge-Elementary-School/?s_cid=gsapi,K-5,,Monterey Ridge Elementary School,42,"21,3,1,1,2",Public
720,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/11096-Marshall-Thurgood-Elementary-School/?s_cid=gsapi,K-6,,Marshall (Thurgood) Elementary School,29,"14,3,3,1,2",Public
501,3 out of 5 stars,https://www.greatschools.org/california/ramona/6058-Mt.-Woodson-Elementary-School/?s_cid=gsapi,K-6,,Mt. Woodson Elementary School,23,"5,4,0,2,5",Public
639,3 out of 5 stars,https://www.greatschools.org/california/willows/992-Murdock-Elementary-School/?s_cid=gsapi,K-5,,Murdock Elementary School,3,"0,1,0,2,0",Public
935,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6080-Nestor-Language-Academy-Charter/?s_cid=gsapi,K-8,,Nestor Language Academy Charter,25,"14,1,0,3,4",Public charter
769,4 out of 5 stars,https://www.greatschools.org/california/oceanside/6012-North-Terrace-Elementary-School/?s_cid=gsapi,K-8,,North Terrace Elementary School,37,"13,7,2,2,2",Public
695,3 out of 5 stars,https://www.greatschools.org/california/concord/488-Oak-Grove-Middle-School/?s_cid=gsapi,6-8,,Oak Grove Middle School,18,"6,4,1,0,7",Public
882,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/12035-McMillin-Corky-Elementary-School/?s_cid=gsapi,K-6,,McMillin (Corky) Elementary School,31,"10,2,2,2,1",Public
682,4 out of 5 stars,https://www.greatschools.org/california/san-diego/12043-Ocean-View-Hills-School/?s_cid=gsapi,4-8,,Ocean View Hills School,51,"19,6,6,1,5",Public
"2,640",4 out of 5 stars,https://www.greatschools.org/california/chula-vista/12628-Otay-Ranch-Senior-High-School/?s_cid=gsapi,9-12,,Otay Ranch Senior High School,21,"10,3,4,2,0",Public
418,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6216-Pacific-Beach-Elementary-School/?s_cid=gsapi,K-5,,Pacific Beach Elementary School,12,"9,0,0,0,0",Public
453,4 out of 5 stars,https://www.greatschools.org/california/oceanside/11126-Pacific-View-Charter-School/?s_cid=gsapi,K-12,,Pacific View Charter School,13,"7,1,0,0,4",Public charter
389,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5847-Palomar-Elementary-School/?s_cid=gsapi,K-6,,Palomar Elementary School,5,"4,0,0,0,1",Public
297,4 out of 5 stars,https://www.greatschools.org/california/pauma-valley/11130-Pauma-Elementary-School/?s_cid=gsapi,K-8,,Pauma Elementary School,4,"3,0,0,0,1",Public
828,4 out of 5 stars,https://www.greatschools.org/california/el-cajon/6069-Pepper-Drive-Elementary-School/?s_cid=gsapi,K-8,,Pepper Drive Elementary School,50,"11,6,2,4,5",Public
473,5 out of 5 stars,https://www.greatschools.org/california/san-diego/14439-Perkins-Elementary-School/?s_cid=gsapi,K-8,,Perkins Elementary School,10,"4,0,0,0,0",Public
436,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6222-Perry-Elementary-School/?s_cid=gsapi,K-5,,Perry Elementary School,18,"7,2,1,1,1",Public
490,4 out of 5 stars,https://www.greatschools.org/california/ventura/7749-Poinsettia-Elementary-School/?s_cid=gsapi,K-5,,Poinsettia Elementary School,20,"10,0,2,2,4",Public
440,3 out of 5 stars,https://www.greatschools.org/california/poway/6042-Pomerado-Elementary-School/?s_cid=gsapi,K-5,,Pomerado Elementary School,19,"7,2,1,1,4",Public
"2,252",4 out of 5 stars,https://www.greatschools.org/california/poway/6043-Poway-High-School/?s_cid=gsapi,9-12,,Poway High School,24,"8,3,0,0,3",Public
577,4 out of 5 stars,https://www.greatschools.org/california/lakeside/5946-Riverview-Elementary-School/?s_cid=gsapi,1-5,,Riverview Elementary School,56,"29,3,2,3,5",Public
113,5 out of 5 stars,https://www.greatschools.org/california/fallbrook/11100-Oasis-High-Alternative-School/?s_cid=gsapi,9-12,,Oasis High (Alternative) School,1,"1,0,0,0,0",Public
230,4 out of 5 stars,https://www.greatschools.org/california/san-diego/6225-Rolando-Park-Elementary-School/?s_cid=gsapi,K-5,,Rolando Park Elementary School,9,"5,1,0,1,1",Public
961,3 out of 5 stars,https://www.greatschools.org/california/san-diego/6226-Roosevelt-International-Middle-School/?s_cid=gsapi,6-8,,Roosevelt International Middle School,69,"16,2,3,3,12",Public
580,4 out of 5 stars,https://www.greatschools.org/california/escondido/5905-Rose-Elementary-School/?s_cid=gsapi,K-5,,Rose Elementary School,15,"4,4,0,2,2",Public
573,4 out of 5 stars,https://www.greatschools.org/california/chula-vista/5852-Rosebank-Elementary-School/?s_cid=gsapi,K-6,,Rosebank Elementary School,37,"9,2,1,2,1",Public
462,4 out of 5 stars,https://www.greatschools.org/california/san-diego/12219-San-Diego-Cooperative-Charter-School/?s_cid=gsapi,K-8,,San Diego Cooperative Charter School,55,"26,7,2,0,4",Public charter
653,3 out of 5 stars,https://www.greatschools.org/california/san-diego/14157-San-Diego-Business/?s_cid=gsapi,9-12,,San Diego Business,6,"2,0,1,2,1",Public
832,4 out of 5 stars,https://www.greatschools.org/california/san-diego/14146-San-Diego-International-Studies-School/?s_cid=gsapi,9-12,,San Diego International Studies School,25,"9,2,4,2,1",Public
567,4 out of 5 stars,https://www.greatschools.org/california/san-diego/14349-San-Diego-Science-And-Technology-School/?s_cid=gsapi,9-12,,San Diego Science and Technology School,3,"2,0,1,0,0",Public
117,4 out of 5 stars,https://www.greatschools.org/california/san-diego/14544-San-Diego-Metro-Career-And-Tech-School/?s_cid=gsapi,9-12,,San Diego Metro Career and Tech School,19,"7,1,2,0,4",Public
781,5 out of 5 stars,https://www.greatschools.org/california/san-diego/6231-Sandburg-Elementary-School/?s_cid=gsapi,K-5,,Sandburg Elementary School,23,"10,0,0,0,1",Public
275,4 out of 5 stars,https://www.greatschools.org/california/san-diego/25267-School-For-Entrepreneurship-And-Technology/?s_cid=gsapi,9-12 & Ungraded,,School for Entrepreneurship and Technology,88,"31,8,0,2,2",Public charter
747,4 out of 5 stars,https://www.greatschools.org/california/san-diego/12041-Scripps-Elementary-School/?s_cid=gsapi,K-5,,Scripps Elementary School,23,"12,2,0,1,1",Public
373,2 out of 5 stars,https://www.greatschools.org/california/chula-vista/5851-Rohr-Fred-H.-Elementary-School/?s_cid=gsapi,K-6,,Rohr (Fred H.) Elementary School,15,"3,2,1,0,8",Public
