address,city,district,districtid,districtncesid,enrollment,fax,graderange,gsid,gsrating,lat,lon,name,ncesid,overviewlink,phone,ratingslink,reviewslink,schoolstatslink,state,type,website
"8770 Harbison Canyon Road, 
Alpine, CA  91901",Alpine,Alpine Union Elementary,672,0602100,51,(619) 659-2865,K-8,11095,,32.832817,-116.8171,Mountain View Learning Academy,060210007300,https://www.greatschools.org/california/alpine/11095-Mountain-View-Learning-Academy/?s_cid=gsapi,(619) 659-2854,https://www.greatschools.org/school/rating.page?state=CA&id=11095&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11095&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11095,CA,public,www.alpineschools.net/mountainview
"43 Hawkside Drive, 
Markleeville, CA  96120",Markleeville,Alpine County Unified,21,0602070,1,(530) 694-2938,7-12,14874,,38.80934,-119.77959,Alpine County Secondary Community Day School,060207006968,https://www.greatschools.org/california/markleeville/14874-Alpine-County-Secondary-Community-Day-School/?s_cid=gsapi,(530) 694-9423,https://www.greatschools.org/school/rating.page?state=CA&id=14874&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=14874&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/14874,CA,public,
"35 Hawkside Drive, 
Markleeville, CA  96120",Markleeville,Alpine County Unified,21,0602070,82,(530) 694-2386,K-8,320,,38.76666,-119.80713,Diamond Valley Elementary School,060207000090,https://www.greatschools.org/california/markleeville/320-Diamond-Valley-Elementary-School/?s_cid=gsapi,(530) 694-2238,https://www.greatschools.org/school/rating.page?state=CA&id=320&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=320&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/320,CA,public,http://alpinecoe.k12.ca.us/
"3450 Clairemont Drive, 
San Diego, CA  92123",San Diego,Alpine Union Elementary,672,0602100,156,,K-7,31171,,32.80378,-117.199356,Endeavour Academy,060210013668,https://www.greatschools.org/california/san-diego/31171-Endeavour-Academy/?s_cid=gsapi,(858) 278-9000,https://www.greatschools.org/school/rating.page?state=CA&id=31171&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31171&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31171,CA,charter,http://www.ealas.org/esd
"7350 West Lilac Road, 
Bonsall, CA  92003",Bonsall,Bonsall Unified,1553,0601426,1000,,9-12,31970,4,33.29716,-117.17493,Bonsall High,060142613751,https://www.greatschools.org/california/bonsall/31970-Bonsall-High/?s_cid=gsapi,(760) 631-5209,https://www.greatschools.org/school/rating.page?state=CA&id=31970&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31970&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31970,CA,public,www.bonsallhs.com
"31555 Old River Road, 
Bonsall, CA  92003",Bonsall,Bonsall Unified,1553,0601426,985,(760) 758-3193,K-5,5789,8,33.28717,-117.21922,Bonsall Elementary School,060567000516,https://www.greatschools.org/california/bonsall/5789-Bonsall-Elementary-School/?s_cid=gsapi,(760) 631-5205,https://www.greatschools.org/school/rating.page?state=CA&id=5789&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5789&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5789,CA,public,http://www.bonsallusd.com
"5050 El Mirlo Drive, 
Oceanside, CA  92057",Oceanside,Bonsall Unified,1553,0601426,559,(760) 721-8117,K-6,14993,9,33.26414,-117.29233,Bonsall West Elementary School,060567011749,https://www.greatschools.org/california/oceanside/14993-Bonsall-West-Elementary-School/?s_cid=gsapi,(760) 721-8001,https://www.greatschools.org/school/rating.page?state=CA&id=14993&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=14993&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/14993,CA,public,http://www.bonsallusd.com
"7350 West Lilac Road, 
Bonsall, CA  92003",Bonsall,Bonsall Unified,1553,0601426,579,(760) 631-5230,6-8,5790,7,33.297398,-117.175,Norman L. Sullivan Middle School,060567009519,https://www.greatschools.org/california/bonsall/5790-Norman-L.-Sullivan-Middle-School/?s_cid=gsapi,(760) 631-5210,https://www.greatschools.org/school/rating.page?state=CA&id=5790&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5790&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5790,CA,public,http://www.bonsallusd.com
"5256 South Mission Road, 
Bonsall, CA  92003",Bonsall,Bonsall Unified,1553,0601426,,(800) 897-7558,K-12,32182,,33.29541,-117.22226,Pathways Academy Charter,,https://www.greatschools.org/california/bonsall/32182-Pathways-Academy-Charter/?s_cid=gsapi,(858) 610-1102,https://www.greatschools.org/school/rating.page?state=CA&id=32182&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=32182&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/32182,CA,charter,www.pathwaysacademy.org
"31430 Calle De Talar, 
Bonsall, CA  92003",Bonsall,,,,6,,K-8,31492,,33.28445,-117.16767,Academia De Talar,,https://www.greatschools.org/california/bonsall/31492-Academia-De-Talar/?s_cid=gsapi,(760) 616-0827,https://www.greatschools.org/school/rating.page?state=CA&id=31492&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31492&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/31492,CA,private,
"11800 Pala Mission Road, 
Pala, CA  92059",Pala,Bonsall Unified,1553,0601426,100,(760) 742-3102,K-5,5791,4,33.36508,-117.07172,Vivian Banks Charter School,060567006481,https://www.greatschools.org/california/pala/5791-Vivian-Banks-Charter-School/?s_cid=gsapi,(760) 742-3300,https://www.greatschools.org/school/rating.page?state=CA&id=5791&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=5791&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/5791,CA,charter,http://www.bonsallusd.com
"1 Pirates Cove Way, 
Oceanside, CA  92054",Oceanside,Oceanside Unified School District,697,0628250,2153,(760) 757-2419,9-12,6014,5,33.19925,-117.37368,Oceanside High School,062825004368,https://www.greatschools.org/california/oceanside/6014-Oceanside-High-School/?s_cid=gsapi,(760) 901-8200,https://www.greatschools.org/school/rating.page?state=CA&id=6014&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6014&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6014,CA,public,http://ohs.oside.us/
"1806 South Horne Street, 
Oceanside, CA  92054",Oceanside,Oceanside Unified School District,697,0628250,732,(760) 439-9954,K-5,6018,5,33.17739,-117.35739,South Oceanside Elementary School,062825004374,https://www.greatschools.org/california/oceanside/6018-South-Oceanside-Elementary-School/?s_cid=gsapi,(760) 435-2100,https://www.greatschools.org/school/rating.page?state=CA&id=6018&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6018&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6018,CA,public,http://southo.oside.us/
"1943 California Street, 
Oceanside, CA  92054",Oceanside,,,,87,,K-8,10503,,33.189808,-117.348854,Oceanside Adventist Elementary School,A9700566,https://www.greatschools.org/california/oceanside/10503-Oceanside-Adventist-Elementary-School/?s_cid=gsapi,(760) 722-6894,https://www.greatschools.org/school/rating.page?state=CA&id=10503&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=10503&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/10503,CA,private,Http://www.myoae.com
"3525 Cannon Road, 
Oceanside, CA  92056",Oceanside,,,,50,,PK-6,13002,,33.173523,-117.25355,Montessori School of Oceanside,A0101120,https://www.greatschools.org/california/oceanside/13002-Montessori-School-Of-Oceanside/?s_cid=gsapi,(760) 941-3883,https://www.greatschools.org/school/rating.page?state=CA&id=13002&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=13002&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/13002,CA,private,http://www.montessorischoolofoceanside.com/
"4673 Sierra Madre Road, 
Santa Barbara, CA  93110",Santa Barbara,,,,7,,6-12,31571,,34.449303,-119.78505,Oceanside Christian Academy,,https://www.greatschools.org/california/santa-barbara/31571-Oceanside-Christian-Academy/?s_cid=gsapi,(805) 637-5703,https://www.greatschools.org/school/rating.page?state=CA&id=31571&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31571&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/31571,CA,private,
"4760 Oceanside Boulevard, 
Oceanside, CA  92056",Oceanside,,,,,,K-1,17351,,33.216286,-117.27111,Montessori School of Oceanside #2,,https://www.greatschools.org/california/oceanside/17351-Montessori-School-Of-Oceanside-2/?s_cid=gsapi,(760) 724-8955,https://www.greatschools.org/school/rating.page?state=CA&id=17351&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=17351&s_cid=gsapi,https://www.greatschools.org/cgi-bin/CA/otherprivate/17351,CA,private,
", 
San Marcos, CA  92069",San Marcos,San Diego County Office Of Education,1067,0691030,,,7-12,31004,,33.142254,-117.16568,North Region Community School Of Greater Oceanside,069103012978,https://www.greatschools.org/california/san-marcos/31004-North-Region-Community-School-Of-Greater-Oceanside/?s_cid=gsapi,(760) 671-5280,https://www.greatschools.org/school/rating.page?state=CA&id=31004&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=31004&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/31004,CA,public,
"3131 Oceanside Boulevard, 
Oceanside, CA  92056",Oceanside,Oceanside Unified School District,697,0628250,164,(760) 439-5588,9-12,6013,,33.20166,-117.33023,Ocean Shores High (Continuation) School,062825004367,https://www.greatschools.org/california/oceanside/6013-Ocean-Shores-High-(Continuation)-School/?s_cid=gsapi,(760) 901-8600,https://www.greatschools.org/school/rating.page?state=CA&id=6013&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6013&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6013,CA,public,http://oshs.oside.us/
"5200 North River Road, 
Oceanside, CA  92057",Oceanside,Oceanside Unified School District,697,0628250,442,(760) 433-3240,K-5,6000,3,33.257217,-117.30251,Del Rio Elementary School,062825004357,https://www.greatschools.org/california/oceanside/6000-Del-Rio-Elementary-School/?s_cid=gsapi,(760) 901-7300,https://www.greatschools.org/school/rating.page?state=CA&id=6000&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6000&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6000,CA,public,http://delrio.oside.us/
"400 Rancho Del Oro Drive, 
Oceanside, CA  92057",Oceanside,Oceanside Unified School District,697,0628250,3076,(760) 757-5321,9-12,6002,7,33.21959,-117.31913,El Camino High School,062825004360,https://www.greatschools.org/california/oceanside/6002-El-Camino-High-School/?s_cid=gsapi,(760) 901-8000,https://www.greatschools.org/school/rating.page?state=CA&id=6002&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6002&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6002,CA,public,http://echs.oside.us/
"333 Garrison Drive, 
Oceanside, CA  92054",Oceanside,Oceanside Unified School District,697,0628250,425,(760) 757-5008,K-5,6003,3,33.20735,-117.3349,E. G. Garrison Elementary School,062825004359,https://www.greatschools.org/california/oceanside/6003-E.-G.-Garrison-Elementary-School/?s_cid=gsapi,(760) 901-7600,https://www.greatschools.org/school/rating.page?state=CA&id=6003&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6003&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6003,CA,public,http://garrison.oside.us/
"4275 Via Rancho Road, 
Oceanside, CA  92057",Oceanside,Oceanside Unified School District,697,0628250,775,(760) 967-4077,K-5,6004,8,33.219418,-117.30101,Ivey Ranch Elementary School,062825010311,https://www.greatschools.org/california/oceanside/6004-Ivey-Ranch-Elementary-School/?s_cid=gsapi,(760) 966-4800,https://www.greatschools.org/school/rating.page?state=CA&id=6004&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6004&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6004,CA,public,http://ivey.oside.us/
"823 Acacia Street, 
Oceanside, CA  92058",Oceanside,Oceanside Unified School District,697,0628250,592,(760) 757-5791,6-8,6005,3,33.210007,-117.36263,Jefferson Middle School,062825004361,https://www.greatschools.org/california/oceanside/6005-Jefferson-Middle-School/?s_cid=gsapi,(760) 966-4700,https://www.greatschools.org/school/rating.page?state=CA&id=6005&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6005&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6005,CA,public,http://jms.oside.us/
"1290 Ivey Ranch Road, 
Oceanside, CA  92057",Oceanside,Oceanside Unified School District,697,0628250,1576,(760) 967-4154,6-8,6006,6,33.215694,-117.30879,Martin Luther King Jr. Middle School,062825003970,https://www.greatschools.org/california/oceanside/6006-Martin-Luther-King-Jr.-Middle-School/?s_cid=gsapi,(760) 967-1122,https://www.greatschools.org/school/rating.page?state=CA&id=6006&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6006&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6006,CA,public,http://mlk.oside.us/
"1410 Laurel Street, 
Oceanside, CA  92058",Oceanside,Oceanside Unified School District,697,0628250,509,(760) 966-4202,K-5,6007,2,33.2084,-117.375,Laurel Elementary School,062825004362,https://www.greatschools.org/california/oceanside/6007-Laurel-Elementary-School/?s_cid=gsapi,(760) 966-4200,https://www.greatschools.org/school/rating.page?state=CA&id=6007&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6007&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6007,CA,public,www.laurel.oside.us/
"423 West Redondo Drive, 
Oceanside, CA  92057",Oceanside,Oceanside Unified School District,697,0628250,600,(760) 901-0623,K-5,6008,3,33.251736,-117.30465,Libby Elementary School,062825004363,https://www.greatschools.org/california/oceanside/6008-Libby-Elementary-School/?s_cid=gsapi,(760) 967-7000,https://www.greatschools.org/school/rating.page?state=CA&id=6008&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6008&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6008,CA,public,http://libby.oside.us/
"2000 California Street, 
Oceanside, CA  92054",Oceanside,Oceanside Unified School District,697,0628250,884,(760) 433-2035,6-8,6009,4,33.188805,-117.35345,Lincoln Middle School,062825004364,https://www.greatschools.org/california/oceanside/6009-Lincoln-Middle-School/?s_cid=gsapi,(760) 901-8900,https://www.greatschools.org/school/rating.page?state=CA&id=6009&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6009&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6009,CA,public,http://lms.oside.us/
"3701 Kelton Drive, 
Oceanside, CA  92056",Oceanside,Oceanside Unified School District,697,0628250,692,(760) 722-1576,K-5,6010,4,33.200523,-117.30625,Christa Mcauliffe Elementary School,062825009597,https://www.greatschools.org/california/oceanside/6010-Christa-Mcauliffe-Elementary-School/?s_cid=gsapi,(760) 901-8400,https://www.greatschools.org/school/rating.page?state=CA&id=6010&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6010&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6010,CA,public,http://mcauliffe.oside.us/
"2100 Mission Avenue, 
Oceanside, CA  92058",Oceanside,Oceanside Unified School District,697,0628250,593,(760) 757-6492,K-5,6011,2,33.20572,-117.36293,Mission Elementary School,062825004365,https://www.greatschools.org/california/oceanside/6011-Mission-Elementary-School/?s_cid=gsapi,(760) 966-8700,https://www.greatschools.org/school/rating.page?state=CA&id=6011&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6011&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6011,CA,public,http://mission.oside.us/
"141 Santa Rosa Drive, 
Oceanside, CA  92058",Oceanside,Oceanside Unified School District,697,0628250,769,(760) 757-5872,K-8,6012,7,33.216835,-117.37768,North Terrace Elementary School,062825004366,https://www.greatschools.org/california/oceanside/6012-North-Terrace-Elementary-School/?s_cid=gsapi,(760) 901-7500,https://www.greatschools.org/school/rating.page?state=CA&id=6012&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6012&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6012,CA,public,http://nt.oside.us/
"1999 California Street, 
Oceanside, CA  92054",Oceanside,Oceanside Unified School District,697,0628250,708,(760) 433-6795,K-5,6016,5,33.190445,-117.34792,Palmquist Elementary School,062825004370,https://www.greatschools.org/california/oceanside/6016-Palmquist-Elementary-School/?s_cid=gsapi,(760) 901-8500,https://www.greatschools.org/school/rating.page?state=CA&id=6016&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6016&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6016,CA,public,www.palmquist.oside.us/
"4575 Douglas Drive, 
Oceanside, CA  92057",Oceanside,Oceanside Unified School District,697,0628250,641,(760) 433-5329,K-5,6017,4,33.255836,-117.31438,Reynolds Elementary School,062825009169,https://www.greatschools.org/california/oceanside/6017-Reynolds-Elementary-School/?s_cid=gsapi,(760) 901-7200,https://www.greatschools.org/school/rating.page?state=CA&id=6017&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6017&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6017,CA,public,www.reynolds.oside.us/
"3535 Hacienda Drive, 
Oceanside, CA  92054",Oceanside,Oceanside Unified School District,697,0628250,382,(760) 757-3945,K-5,6019,3,33.219677,-117.33623,San Luis Rey Elementary School,062825004371,https://www.greatschools.org/california/oceanside/6019-San-Luis-Rey-Elementary-School/?s_cid=gsapi,(760) 721-2300,https://www.greatschools.org/school/rating.page?state=CA&id=6019&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6019&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6019,CA,public,www.slr.oside.us/
"1 Carnes Road, 
Oceanside, CA  92058",Oceanside,Oceanside Unified School District,697,0628250,699,(760) 430-1415,K-8,6021,8,33.23162,-117.38226,Santa Margarita Elementary School,062825004373,https://www.greatschools.org/california/oceanside/6021-Santa-Margarita-Elementary-School/?s_cid=gsapi,(760) 901-7900,https://www.greatschools.org/school/rating.page?state=CA&id=6021&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6021&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6021,CA,public,http://smarg.oside.us/
"100 Yamanaka Way, 
Oceanside, CA  92058",Oceanside,Oceanside Unified School District,697,0628250,613,(760) 430-8288,K-8,6022,5,33.2542,-117.40995,Stuart Mesa Elementary School,062825007717,https://www.greatschools.org/california/oceanside/6022-Stuart-Mesa-Elementary-School/?s_cid=gsapi,(760) 901-7700,https://www.greatschools.org/school/rating.page?state=CA&id=6022&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=6022&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/6022,CA,public,www.smesa.oside.us/
"3670 Ocean Ranch Boulevard, 
Oceanside, CA  92056",Oceanside,Oceanside Unified School District,697,0628250,453,(760) 435-2666,K-12,11126,2,33.211174,-117.31342,Pacific View Charter School,062825008313,https://www.greatschools.org/california/oceanside/11126-Pacific-View-Charter-School/?s_cid=gsapi,(760) 757-0161,https://www.greatschools.org/school/rating.page?state=CA&id=11126&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=11126&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/11126,CA,charter,www.pacificview.org
"4250 Old Grove Road, 
Oceanside, CA  92057",Oceanside,Oceanside Unified School District,697,0628250,786,(760) 722-0472,K-5,12226,5,33.238083,-117.31514,Nichols Elementary School,062825010645,https://www.greatschools.org/california/oceanside/12226-Nichols-Elementary-School/?s_cid=gsapi,(760) 435-7400,https://www.greatschools.org/school/rating.page?state=CA&id=12226&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12226&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12226,CA,public,http://nichols.oside.us/
"4096 Calle Platino, 
Oceanside, CA  92056",Oceanside,Oceanside Unified School District,697,0628250,1363,(760) 631-4027,K-8,12561,8,33.21243,-117.28718,Coastal Academy,062825011265,https://www.greatschools.org/california/oceanside/12561-Coastal-Academy/?s_cid=gsapi,(760) 631-4020,https://www.greatschools.org/school/rating.page?state=CA&id=12561&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=12561&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/12561,CA,charter,www.classicalacademy.com/
"3800 Pala Road, 
Oceanside, CA  92058",Oceanside,Oceanside Unified School District,697,0628250,746,(760) 754-1567,1-5,17595,4,33.238922,-117.32918,Louise Foussat Elementary School,062825012011,https://www.greatschools.org/california/oceanside/17595-Louise-Foussat-Elementary-School/?s_cid=gsapi,(760) 721-2200,https://www.greatschools.org/school/rating.page?state=CA&id=17595&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=17595&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/17595,CA,public,http://foussat.oside.us/
"202 Oleander Dr, 
Oceanside, CA  92057",Oceanside,Oceanside Unified School District,697,0628250,742,(760) 945-4665,6-8,17597,5,33.241707,-117.30064,Cesar Chavez Middle School,062825011922,https://www.greatschools.org/california/oceanside/17597-Cesar-Chavez-Middle-School/?s_cid=gsapi,(760) 966-4900,https://www.greatschools.org/school/rating.page?state=CA&id=17597&s_cid=gsapi,https://www.greatschools.org/school/parentReviews.page?state=CA&id=17597&s_cid=gsapi,https://www.greatschools.org/modperl/achievement/CA/17597,CA,public,www.ccms.oside.us/
