CDSCode,District,School,Street,StreetAbr,City,*,State,Phone,OpenDate,Charter,DOCType,SOC,SOCType,GSoffered,Latitude,Longitude,LastUpdate,2016-2017 Total Enrollment,2015-2016 ELA Current Status (avg. distance from level 3),2015-2016 ELA Prior Status (age. Distance from level 3),2015-2016 ELA Change (Difference between current and prior status),2015-2016 ELA Status Level,2015-2016 ELA Status Level (Decode),2015-2016 ELA Change Level,2015-2016 ELA Change Level (Decode),2015-2016 ELA Color,2015-2016 ELA Color (Decode),2015-2016 ELA box,2015-2016 ELA box (Decode),2015-2016 Math Current Status (avg. distance from level 3),2015-2016 Math Prior Status (age. Distance from level 3),2015-2016 Math Change (Difference between current and prior status),2015-2016 Math Status Level,2015-2016 Math Status Level (Decode),2015-2016 Math Change Level,2015-2016 Math Change Level (Decode),2015-2016 Math Color,2015-2016 Math Color (Decode),2015-2016 Math box,2015-2016 Math box (Decode),2016-2017 English Language Learners,2016-2017 % English Language Learners,2016-2017 FRPM Count,2016-2017 % FRPM Count,2015-2016 SAT: AvgScrRead,2015-2016 SAT: AvgScrMath,2015-2016 SAT: AvgScrWrit,2015-2016 SAT: Number of Test Takers Whose Total 2015-2016 SAT Scores Are Greater or Equal to 1500,2015-2016 SAT: % of Test Takers Whose Total 2015-2016 SAT Scores Are Greater or Equal to 1500,2015-2016 Enrollment Grades 10-12,2015-2016 AP Number Tested,2015-2016 % AP Number Tested,2015-2016 AP Score = 1,2015-2016 AP Score = 2,2015-2016 AP Score = 3,2015-2016 AP Score = 4,2015-2016 AP Score = 5,% 2015-2016 AP Score = 1,% 2015-2016 AP Score = 2,% 2015-2016 AP Score = 3,% 2015-2016 AP Score = 4,% 2015-2016 AP Score = 5,IB,AVID,Dual Language,Arts,Education Equity,US News 
37679833730447,Borrego Springs Unified,Borrego Springs High,2281 Diegueno Road,2281 Diegueno Rd.,Borrego Springs,92004-0235,CA,(760) 767-5335,7/1/1980,N,Unified School District,,High Schools (Public),9-12,33.265514,-116.38373,5/17/2016,133,30.1,29.4,0.6,0,No Data,0,No Data,0,No Color,0,NO COLOR,-128.4,-116.1,-12.3,0,No Data,0,No Data,0,No Color,0,No Color,30,23%,123,92%,422,404,389,2,10%,105,1,1%,*,*,*,*,*,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
37679836115315,Borrego Springs Unified,Borrego Springs Middle,2255 Diegueno Road,2255 Diegueno Rd.,Borrego Springs,92004,CA,(760) 767-5335,9/1/1997,N,Unified School District,,Intermediate/Middle Schools (Public),6-8,33.264682,-116.38367,4/5/2017,101,-15.7,-36.3,20.6,2,Low,5,Increased Significantly,3,Yellow,200,"Low, Increased Significantly",-74.6,-81.7,7.1,2,Low,4,Increased,3,Yellow,190,"Low, Increased",34,34%,85,84%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679830131144,Borrego Springs Unified,Diego Springs Academy,310 Broadway,310 Broadway,Chula Vista,91910-3502,CA,(619) 677-1903,7/1/2014,Y,Unified School District,,K-12 Schools (Public),K-12,32.637151,-117.09228,12/6/2016,407,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,143,35%,376,92%,NA,NA,NA,NA,#VALUE!,259,0,0%,N/A,N/A,N/A,N/A,N/A,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
37679916037568,Cajon Valley Union,Anza Elementary,1005 South Anza Street,1005 South Anza St.,El Cajon,92020-8602,CA,(619) 588-3116,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.786,-116.9478,6/18/2015,569,-56.1,-61.1,5,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",-37,-49.3,12.3,2,Low,4,Increased,3,Yellow,190,"Low, Increased",413,73%,533,94%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916069082,Cajon Valley Union,Avocado Elementary,3845 Avocado School Road,3845 Avocado School Rd.,La Mesa,91941-7319,CA,(619) 588-3100,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.750432,-116.96075,12/23/2015,603,9.6,-13.9,23.4,3,Medium,5,Increased Significantly,4,Green,150,"Medium, Increased Significantly",4.4,-12.2,16.6,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",180,30%,309,51%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916112148,Cajon Valley Union,Blossom Valley Elementary,9863 Oakmont Terrace,9863 Oakmont Terr.,El Cajon,92021-2300,CA,(619) 588-3678,8/29/1994,N,Elementary School District,,Elementary Schools (Public),K-5,32.861732,-116.84665,12/23/2015,536,9.1,-2.3,11.3,3,Medium,4,Increased,4,Green,140,"Medium, Increased",-1.2,-20.7,19.5,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",54,10%,155,29%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037576,Cajon Valley Union,Bostonia Language Academy,1390 East Broadway,1390 East Broadway,El Cajon,92021-5812,CA,(619) 588-3121,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.807818,-116.93171,12/23/2015,431,-0.7,-59,58.3,3,Medium,5,Increased Significantly,4,Green,150,"Medium, Increased Significantly",-1.3,-70.1,68.8,4,High,5,Increased Significantly,5,Blue,100,"High, Increased Significantly",231,54%,344,80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,,
37679916118319,Cajon Valley Union,Cajon Valley Home,2000 Suncrest Boulevard,2000 Suncrest Blvd.,El Cajon,92020-4249,CA,(619) 588-3128,,N,Elementary School District,,Alternative Schools of Choice,K-8,32.805373,-116.86604,1/9/2016,22,-39.4,0,0,2,Low,0,No Data,0,No Color,0,NO COLOR,-99.6,0,0,1,Very Low,0,No Data,0,No Color,0,No Color,3,14%,11,50%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,
37679916037584,Cajon Valley Union,Cajon Valley Middle,550 Park Avenue,550 Park Ave.,El Cajon,92020-3922,CA,(619) 588-3092,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.798383,-116.95555,12/23/2015,929,-61.4,-68.6,7.2,2,Low,4,Increased,3,Yellow,190,"Low, Increased",-86,-98.2,12.1,2,Low,4,Increased,3,Yellow,190,"Low, Increased",332,36%,900,97%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037592,Cajon Valley Union,Chase Avenue Elementary,195 East Chase Avenue,195 East Chase Ave.,El Cajon,92020-6201,CA,(619) 588-3123,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.780336,-116.96003,12/23/2015,741,-62.7,-63.1,0.3,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",-56.4,-58.2,1.8,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",403,54%,689,93%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037600,Cajon Valley Union,Crest Elementary,2000 Suncrest Boulevard,2000 Suncrest Blvd.,El Cajon,92021-4249,CA,(858) 558-3128,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.805538,-116.86647,12/23/2015,137,-7.8,-33.5,25.7,2,Low,5,Increased Significantly,3,Yellow,200,"Low, Increased Significantly",-23.3,-29.2,5.9,3,Medium,4,Increased,4,Green,140,"Medium, Increased",12,9%,63,46%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679910108563,Cajon Valley Union,EJE Elementary Academy Charter,851 South Johnson Avenue,851 South Johnson Ave.,El Cajon,92020-5811,CA,(619) 401-4150,8/15/2005,Y,Elementary School District,,Elementary Schools (Public),K-5,32.784935,-116.97083,6/18/2015,537,-1.5,-2.8,1.3,3,Medium,3,Maintained,3,Yellow,130,"Medium, Maintained",-23.9,-17.1,-6.8,3,Medium,2,Decreased,2,Orange,120,"Medium, Declined",273,51%,408,76%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,x,
37679910119255,Cajon Valley Union,EJE Middle Academy,851 South Johnson Avenue,851 South Johnson Ave.,El Cajon,92020-5811,CA,(619) 401-4150,8/17/2009,Y,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.784935,-116.97083,4/7/2017,195,33.6,23.8,9.9,4,High,4,Increased,4,Green,90,"High, Increased",-10,-42.1,32.1,3,Medium,5,Increased Significantly,4,Green,150,"Medium, Increased Significantly",47,24%,165,85%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,x,,x,
37679916037626,Cajon Valley Union,Emerald Middle,1221 South Emerald Avenue,1221 South Emerald Ave.,El Cajon,92020-7315,CA,(619) 588-3097,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.778996,-116.96869,6/18/2015,537,-54.2,-49.8,-4.4,2,Low,2,Decreased,2,Orange,170,"Low, Declined",-107.4,-91.9,-15.5,1,Very Low,1,Decreased Significantly,1,Red,210,"Very Low, Declined Significantly",184,34%,517,96%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037634,Cajon Valley Union,Flying Hills Elementary,1251 Finch Street,1251 Finch St.,El Cajon,92020-1433,CA,(619) 588-3132,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-6,32.811827,-116.9824,6/18/2015,571,-21.1,-29.3,8.2,2,Low,4,Increased,3,Yellow,190,"Low, Increased",-32.6,-36.1,3.5,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",108,19%,352,62%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,x,,
37679916037642,Cajon Valley Union,Fuerte Elementary,11625 Fuerte Drive,11625 Fuerte Dr.,El Cajon,92020-8309,CA,(619) 588-3134,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.762217,-116.94678,6/18/2015,663,38.1,32.9,5.2,4,High,3,Maintained,4,Green,80,"High, Maintained",23.5,21.7,1.9,4,High,3,Maintained,4,Green,80,"High, Maintained",102,15%,183,28%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037659,Cajon Valley Union,Greenfield Middle,1495 Greenfield Drive,1495 Greenfield Dr.,El Cajon,92021-3414,CA,(619) 588-3103,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.811048,-116.92834,12/23/2015,738,-46.2,-47.7,1.6,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",-99.2,-92.4,-6.9,1,Very Low,2,Decreased,1,Red,220,"Very Low, Declined",151,20%,640,87%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916112890,Cajon Valley Union,Hillsdale Middle,1301 Brabham Street,1301 Brabham St.,El Cajon,92019-4374,CA,(619) 441-6156,8/28/1995,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.74944,-116.9324,8/25/2016,1506,30.6,23.6,6.9,4,High,3,Maintained,4,Green,80,"High, Maintained",-0.4,-15.1,14.7,4,High,4,Increased,4,Green,90,"High, Increased",113,8%,568,38%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916110787,Cajon Valley Union,Jamacha Elementary,2962 Jamul Drive,2962 Jamul Dr.,El Cajon,92019-4640,CA,(619) 441-6150,9/8/1992,N,Elementary School District,,Elementary Schools (Public),K-5,32.740143,-116.91223,6/18/2015,504,-20.9,-15.7,-5.1,2,Low,2,Decreased,2,Orange,170,"Low, Declined",-12.8,-11.6,-1.3,3,Medium,2,Decreased,2,Orange,120,"Medium, Declined",175,35%,285,57%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037675,Cajon Valley Union,Johnson Elementary,500 West Madison,500 West Madison,El Cajon,92020-3211,CA,(619) 588-3139,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.8008,-116.9562,8/25/2016,623,-78.7,-72.4,-6.3,1,Very Low,2,Decreased,1,Red,220,"Very Low, Declined",-79.9,-79,-0.9,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",374,60%,606,97%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037683,Cajon Valley Union,Lexington Elementary,1145 Redwood Avenue,1145 Redwood Ave.,El Cajon,92019-4739,CA,(619) 588-3075,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.791145,-116.94234,11/16/2016,879,-62.4,-84.9,22.4,2,Low,5,Increased Significantly,3,Yellow,200,"Low, Increased Significantly",-53.3,-82.6,29.3,2,Low,5,Increased Significantly,3,Yellow,200,"Low, Increased Significantly",669,76%,829,94%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,,,,,
37679910111005,Cajon Valley Union,Los Coches Creek Middle,9669 Dunbar Lane,9669 Dunbar Ln.,El Cajon,92021-2619,CA,(619) 441-5741,8/21/2006,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.858622,-116.81938,6/18/2015,607,5.9,-1.3,7.2,3,Medium,4,Increased,4,Green,140,"Medium, Increased",-23.9,-32.2,8.3,3,Medium,4,Increased,4,Green,140,"Medium, Increased",28,5%,257,42%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037691,Cajon Valley Union,Madison Avenue Elementary,1615 East Madison Avenue,1615 East Madison Ave.,El Cajon,92019-1046,CA,(619) 588-3077,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.800143,-116.922,6/18/2015,635,-18.4,-28,9.6,2,Low,4,Increased,3,Yellow,190,"Low, Increased",-27.9,-28.6,0.7,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",221,35%,527,83%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037709,Cajon Valley Union,Magnolia Elementary,650 Greenfield Drive,650 Greenfield Dr.,El Cajon,92021-2957,CA,(619) 588-3080,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.813388,-116.95404,6/18/2015,510,-46.3,-42,-4.3,2,Low,2,Decreased,2,Orange,170,"Low, Declined",-58,-57.1,-0.9,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",247,48%,461,90%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037717,Cajon Valley Union,Meridian Elementary,651 South Third Street,651 South Third St.,El Cajon,92019-2517,CA,(619) 588-3083,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.788386,-116.92685,8/25/2016,622,-38.8,-24.7,-14.1,2,Low,2,Decreased,2,Orange,170,"Low, Declined",-33.2,-35.5,2.3,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",300,48%,549,88%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916093207,Cajon Valley Union,Montgomery Middle,1570 Melody Lane,1570 Melody Ln.,El Cajon,92019-2015,CA,(619) 588-3107,7/1/1980,N,Elementary School District,,Intermediate/Middle Schools (Public),6-8,32.79653,-116.92542,8/25/2016,828,-22.5,-35.7,13.2,2,Low,4,Increased,3,Yellow,190,"Low, Increased",-61,-68.8,7.8,2,Low,4,Increased,3,Yellow,190,"Low, Increased",184,22%,725,88%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
37679916037725,Cajon Valley Union,Naranca Elementary,1030 Naranca Avenue,1030 Naranca Ave.,El Cajon,92021-5615,CA,(619) 588-3087,7/1/1980,N,Elementary School District,,Elementary Schools (Public),K-5,32.803995,-116.94638,6/18/2015,824,-50.7,-53.9,3.2,2,Low,3,Maintained,3,Yellow,180,"Low, Maintained",-42,-47.2,5.1,2,Low,4,Increased,3,Yellow,190,"Low, Increased",526,64%,776,94%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
